preset,num_images,entropy,entropy_std,contrast,contrast_std,sharpness,sharpness_std,colorfulness,colorfulness_std,brightness,brightness_std,processing_time,processing_time_std,psnr,psnr_std,ssim,ssim_std,entropy_improvement_%,contrast_improvement_%,sharpness_improvement_%,colorfulness_improvement_%,psnr_improvement_%,ssim_improvement_%
baseline,100,6.0867422836464735,0.6538536967449454,9.130031072122968,2.0711804134926814,5254.871867083333,2922.2645022770544,9.872652931213379,4.349037537611278,112.51891254166665,14.474819180884786,0.0,0.0,17.25011000714534,2.631598705097493,0.6914277517795563,0.07237125404562529,,,,,,
minimal,100,6.178978085040864,0.6823039879352553,9.975282185472961,2.2796522062351388,6309.644129416665,3505.72619495958,10.817810952663422,4.76385095734387,123.52175562500001,16.288933324175932,0.00463360071182251,0.0005044414139076331,16.03369160948989,2.9148635749359695,0.6703907310962677,0.07722688200457033,1.5153557863326097,9.257921541262082,20.07227367313094,9.573495878314848,-7.0516558859716705,-3.042547920465263
balanced,100,7.423601980255184,0.37901358336241375,22.246350837312754,3.2383894686684114,46500.12288125,24312.08942733873,20.136045727729798,8.264297452583605,165.26542558333335,23.489261108371142,0.023656232357025145,0.0021169954359261836,9.920359197848121,2.4075731534732183,0.45477225676178934,0.11086751883785648,21.963468047604255,143.66128287600563,784.8954657206408,103.95780007689399,-42.49103806445924,-34.22707497763532
aggressive,100,3.8685574154149616,0.629641725827692,24.80803087750821,3.087857123555225,73715.53162783333,30636.035865009195,19.713097229003907,8.339804883518028,217.02448920833334,11.68668346378878,0.06273946046829224,0.004304596724703266,5.58426899959018,1.1086510293361773,0.3621962009370327,0.10420097417287617,-36.442891202921636,171.7190191526884,1302.8035981160554,99.67375908332582,-67.62763253522984,-47.61618983258435
e1_denoise_bilateral,100,7.391573542948724,0.3889015189334134,22.007440406346003,3.1538540195663503,38668.825242333325,20725.634610735957,19.511707262992857,8.675380960772799,165.96560124999996,23.93640517503672,0.023599700927734377,0.002372980202088747,9.908237318896477,2.3594315244424173,0.5158799621462822,0.1019751358447181,21.437268057298898,141.0445291204108,635.866187043607,97.63388218889621,-42.56130937836172,-25.38917322619167
e1_denoise_guided,100,7.470034448874897,0.3479742893735523,22.381243458548084,3.4233901296048734,25643.693393,16277.776970299157,22.161242351531982,9.247110020779795,166.9188215833333,24.580813781708674,0.03748459577560425,0.00319659439793031,9.876106366969694,2.5399915754315834,0.5562256214022636,0.1012510897606091,22.72631402425198,145.13874357871018,387.99845251475733,124.47099585023393,-42.747574578487836,-19.55405030089078
e3_micro_contrast_unsharp,100,7.415733659789848,0.39980451853919935,23.058558901259374,3.5227980883353114,35280.71884441666,20590.226403009685,21.52079358100891,8.837167342378649,167.11707945833336,24.537578921560815,0.02057363748550415,0.002414890112804437,9.760591536822218,2.555628953705649,0.4782330222427845,0.11130905989547221,21.83419823300283,152.55728834992524,571.3906587411975,117.98389684062296,-43.41722149725894,-30.833985038648454
e3_micro_contrast_dog,100,7.357195683632808,0.4184473889881312,22.998717470954634,3.609483297354425,41509.26871758333,23277.89253219583,21.170625252723696,8.673107276891304,169.36876237500002,24.376725975356294,0.020470495223999022,0.001672457929320006,9.535247483662376,2.47781105747967,0.4577789568901062,0.11269326729773696,20.872469061154757,151.9018532278318,689.9197119838177,114.43704544490416,-44.72355550363049,-33.79222113779762
experimental_e1e3,100,7.407968761222897,0.4029891459224523,22.89202387612386,3.638672668507475,31757.339374750005,19092.859229895912,20.962172012329102,9.111544550397303,167.10501270833333,24.829515424820375,0.026903150081634523,0.0025896751542250542,9.788016158702659,2.570754554163645,0.5256021457910538,0.1071774831415737,21.706627552249454,150.7332526613283,504.34088933126765,112.32562471688942,-43.258239195876044,-23.98307061897794
